#blinkered/dropped/1 words=768
ABARTIGEN	2	wiki:de,lz:deu_news_2024_1M,lz:deu_news_2023_1M,lz:deu_news_2022_1M	30,1,2,1
ABCHECKEN	2	wiki:de,lz:deu_news_2024_1M,lz:deu_news_2023_1M,lz:deu_news_2022_1M,lz:deu-at_web_2019_1M	3,2,1,1,1
ABGEFACKELT	2	wiki:de,lz:deu_news_2024_1M,lz:deu_news_2023_1M,lz:deu_news_2022_1M,lz:deu_news_2021_1M,lz:deu_newscrawl-public_2018_1M,lz:deu-at_web_2019_1M	94,1,5,4,5,4,3
ABGEFUCKT	2	wiki:de,lz:deu_news_2024_1M,lz:deu_news_2021_1M	9,1,1
ABGEFUCKTE	2	wiki:de,lz:deu_news_2023_1M,lz:deu_news_2022_1M	1,1,1
ABGEFUCKTEN	2	wiki:de,lz:deu_newscrawl-public_2018_1M	7,1
ABGEKNALLT	2	wiki:de,gut	14,6
ABHAUE	2	wiki:de,wikisource:de,gut	2,1,4
ABHOLST	2	tat,gut	2,1
ABNIMMST	2	wiki:de,wikisource:de,gut	2,1,6
ABSPRITZEN	2	wiki:de,wikisource:de,lz:deu-at_web_2019_1M	23,1,1
AIRLINE	2	wiki:de,lz:deu_news_2024_1M,lz:deu_news_2023_1M,lz:deu_news_2022_1M,lz:deu_news_2021_1M,lz:deu_newscrawl-public_2018_1M,lz:deu-de_web_2021_1M,lz:deu-at_web_2019_1M	3216,64,70,96,74,120,2,19
AKTIVIERE	2	wiki:de,lz:deu_news_2023_1M,lz:deu_news_2022_1M,lz:deu_newscrawl-public_2018_1M,lz:deu-de_web_2021_1M,lz:deu-at_web_2019_1M	26,2,1,1,3,2
ALARMANLAGEN	2	wiki:de,lz:deu_news_2024_1M,lz:deu_news_2023_1M,lz:deu_news_2021_1M,lz:deu_newscrawl-public_2018_1M,lz:deu-de_web_2021_1M,lz:deu-at_web_2019_1M	210,8,2,1,2,4,6
ALFALFA	2	wiki:de,gut	191,20
AMPHETAMINE	2	wiki:de,lz:deu_news_2024_1M,lz:deu_news_2023_1M,lz:deu_news_2022_1M,lz:deu_news_2021_1M,lz:deu_newscrawl-public_2018_1M,lz:deu-at_web_2019_1M	298,10,11,4,16,7,4
ANDOCKEN	2	wiki:de,lz:deu_news_2024_1M,lz:deu_news_2023_1M,lz:deu_news_2022_1M,lz:deu_news_2021_1M,lz:deu_newscrawl-public_2018_1M,lz:deu-at_web_2019_1M	510,6,6,7,7,6,3
ANFÄNGERGLÜCK	2	wiki:de,tat	5,3
ANFINGST	2	wikisource:de,gut	1,10
ANGEBERIN	2	wiki:de,wikisource:de,gut	5,2,5
ANGEDOCKT	2	wiki:de,lz:deu_news_2024_1M,lz:deu_news_2023_1M,lz:deu_news_2022_1M,lz:deu_news_2021_1M,lz:deu_newscrawl-public_2018_1M,lz:deu-at_web_2019_1M	249,1,4,4,14,6,5
ANGELAUSFLUG	2	wiki:de,lz:deu_news_2024_1M,lz:deu_news_2023_1M,lz:deu_news_2022_1M	74,1,2,1
ANGEPISST	2	wiki:de,lz:deu_news_2024_1M,lz:deu_news_2023_1M,lz:deu_news_2021_1M	12,2,2,1
ANGIE	2	wiki:de,lz:deu_news_2024_1M,lz:deu_news_2023_1M,lz:deu_news_2022_1M,lz:deu_news_2021_1M,lz:deu_newscrawl-public_2018_1M,lz:deu-de_web_2021_1M,lz:deu-at_web_2019_1M	2107,7,5,1,3,6,2,1
ANHATTEST	2	tat,gut	1,2
ANHÖRUNGEN	2	wiki:de,lz:deu_news_2024_1M,lz:deu_news_2023_1M,lz:deu_news_2022_1M,lz:deu_news_2021_1M,lz:deu_newscrawl-public_2018_1M,lz:deu-at_web_2019_1M	1094,10,11,18,9,19,2
ANIKA	2	wiki:de,lz:deu_news_2024_1M,lz:deu_news_2023_1M,lz:deu_news_2022_1M,lz:deu_news_2021_1M,lz:deu_newscrawl-public_2018_1M,lz:deu-de_web_2021_1M,lz:deu-at_web_2019_1M	1234,12,14,15,11,17,3,2
ANLÜGE	2	tat,gut	1,1
ANLÜGST	2	wiki:de,tat	1,3
ANRIEFST	2	wiki:de,tat	1,8
ANRUFERIN	2	wiki:de,lz:deu_news_2024_1M,lz:deu_news_2023_1M,lz:deu_news_2022_1M,lz:deu_news_2021_1M,lz:deu_newscrawl-public_2018_1M,lz:deu-at_web_2019_1M	96,7,9,7,8,16,2
ANSTECKNADEL	2	wiki:de,lz:deu_news_2023_1M,lz:deu_news_2022_1M,lz:deu_news_2021_1M,lz:deu_newscrawl-public_2018_1M	367,2,3,3,5
ANTIDEPRESSIVA	2	wiki:de,lz:deu_news_2024_1M,lz:deu_news_2023_1M,lz:deu_news_2022_1M,lz:deu_news_2021_1M,lz:deu_newscrawl-public_2018_1M,lz:deu-de_web_2021_1M,lz:deu-at_web_2019_1M	833,3,6,8,10,11,2,8
APARTMENTS	2	wiki:de,lz:deu_news_2024_1M,lz:deu_news_2023_1M,lz:deu_news_2022_1M,lz:deu_news_2021_1M,lz:deu_newscrawl-public_2018_1M,lz:deu-de_web_2021_1M,lz:deu-at_web_2019_1M	1218,20,11,15,15,22,3,18
ARRHYTHMIE	2	wiki:de,lz:deu_news_2024_1M,lz:deu_news_2021_1M	83,1,2
ÄRSCHEN	2	wiki:de,lz:deu-at_web_2019_1M	4,1
ARSCHGEIGEN	2	wiki:de,lz:deu_news_2023_1M	1,1
ASSERVATENKAMMER	2	wiki:de,lz:deu_news_2024_1M,lz:deu_news_2023_1M,lz:deu_news_2021_1M	111,2,1,2
ATMER	2	wiki:de,wikisource:de,gut	52,1,3
AUFMACHER	2	wiki:de,lz:deu_news_2024_1M,lz:deu_news_2023_1M,lz:deu_news_2022_1M,lz:deu_news_2021_1M,lz:deu_newscrawl-public_2018_1M,lz:deu-de_web_2021_1M,lz:deu-at_web_2019_1M	174,1,1,2,1,1,1,1
